Total_votes,hate_speech,offensive_language,neither,class,comments
3,0,3,0,1,clicquotsuave lmaooooooooooo nigga krillz_nuh_care ltbitch want likes depressing shitfoh
3,0,3,0,1,coley_cee lil_aerii girl know spitting g shit amp going lbvsbitch plz
3,0,3,0,1,coley_cee let make couple tweets cuzzo page wont get twitter jaillmao bitch dont trick
3,0,2,1,1,comedyposts harlem shake excuse go full retard seconds
3,0,3,0,1,comedytruth amen miley dont need act like hoe bc shes emotionally damaged foh
3,0,3,0,1,corybandz one loyal female wayyyyy better hoes idc
3,0,3,0,1,crhedrys pussy licking pussy meow meow stopwhitepeople
3,0,3,0,1,dbab_holloway check th man cowboysnation even faggot ny fans stands
3,0,3,0,1,dgotbricks happen vixen ent bitches got ran threw side like foothill bitch
3,0,3,0,1,daedavidavie white_thunduh im bitch okay nudes pat wow
3,3,0,0,0,devilgrimz vigxrarts youre fucking gay blacklisted hoe holding tehgodclan anyway
3,0,3,0,1,diamondloudkush fuck wrong bitches nobody knows
3,0,3,0,1,dietrich yall shut upp make bitch
3,1,2,0,1,dionairish hate im pregnant type bitch
3,0,3,0,1,doyou_q got bitches dm dont ever readem top
3,0,0,3,2,domworldpeace baseball season win yankees love started
3,0,3,0,1,dommoneek little stupid bitch dont fuck yoooooouuuu
3,0,3,0,1,dreadheadari really asked dead ass serious tho could say bitch wheet lol
3,0,0,3,2,dunderbail im early bird im night owl im wise worms
3,0,1,2,2,edgarpixar overdosing heavy drugs doesnt sound bad tonight pussy shit every day
3,0,0,3,2,el_grillo pit bulls photographed lovely fairy tale creatures fairy tale creatures
3,0,3,0,1,ferocious_ghost stname_bravo aw fag dont tweet aw lol
3,0,0,3,2,flokid long lakers trash could careless thats real cc benballer hahaha
3,0,3,0,1,frosstyy_ hrheyd didnt say anything tho kiss faggot
3,0,0,3,2,funnypicsdepot play soccer cheat girls wear khaki coloured cargos haircut yup
3,0,3,0,1,gstatus could go fat ass bitch lap
3,0,3,0,1,gedmelle missed calls das yo po bitch twitter finna screamn freemoneymelle
6,0,6,0,1,gtm_al ya side bitch got ta know rules shitanybody ask cousin jersey thinkin bout moving lmmfao
3,0,3,0,1,gagatom malefoot amo los pies fuck yeah
3,0,3,0,1,girlthatsvonte hoes thinking meat wont slap ass ainna bruh
3,0,3,0,1,girlthatsvonte yall bitches wit edges talking
3,0,3,0,1,girlthatsvonte yall still going trick treating year nahhell yeah ima da sweet tooth bandit steal bitches bags n shit
3,0,3,0,1,girllssues wan na sex mom fuck right pussy came damn got hacked like fuck
6,0,6,0,1,gizzy_jones kiss u eyes open watch bitchlmfao
3,0,3,0,1,goofstroop woulda coulda shoulda ass hoe
3,0,3,0,1,gotti_ltf happy bday bitch ass nigga jetsandaswisherpreciate bitch roll
3,0,3,0,1,hbmostdope jayee pipinhoes used send bitch
6,0,6,0,1,hbmostdope ugly bitches like im wcw duh bitch aint nobody elses
3,1,2,0,1,halotgmg stname_bravo nigga know hacky sack hoes nah throw look passes lmao
3,1,2,0,1,heartlessfuck glad im getting outta atlanta nothing bunch niggas amp outta jail amp dumb bitches mad kids fuckin em
3,0,1,2,2,hermosaalma isnt ghettoits smart im idc
3,0,2,1,1,hiimjorib would wife hoe cuz wouldnt care cheating force relationship first place
3,0,3,0,1,hornyfacts single isnt excuse hoe theonemiss_luu
3,1,2,0,1,hoskinsty white boy power bitch black power bitch
3,0,3,0,1,hudgens_ lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes chill
3,0,3,0,1,iscoutgirls verbally_abrupt bitch u around world back
3,0,3,0,1,itsyahboiray anelylove dont get dick sucked yo party bad bitch im fr gone set anelylove
3,0,2,1,1,itsyesie oomf soooo cute probably hoes lot
3,0,3,0,1,jayten every cartoon alway _nuffsaid saving hoes lmao lmao damn captain saveahoe
3,0,1,2,2,jreebo wants get nose bad bois scally chav sockfetish stinking hot sox legs
3,0,3,0,1,jamesynba wish bitch like brother keezy ooooow bet
6,0,6,0,1,jasminepore dressed cat halloween basic pussy
4,0,4,0,1,jewelxo pornhub get gaming stream feature dumb bitches gtfo pornhub get katielt
3,0,3,0,1,joebudden stop scared choke sex u bitch ass niggas shell like says guy hits women bed foh
3,0,3,0,1,johnnyperez white_thunduh ha well iguess make hoes loyal bro theyll never loyal hoes nig
6,0,6,0,1,kazatta takehov oh man molly ho fuck ya seed fixed
3,0,3,0,1,kelsiebelsi youre man refer every girl bitch
3,0,3,0,1,keyshawnswag lmfao cat started beating shit nigga finally got pussy nigga
3,0,1,2,2,keyshawnswag peel peel bring back rewind back im move shaq line ooooow tf said trash
3,0,2,1,1,kingcuh stanleys io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
3,0,3,0,1,kinghendo vondreaam naw old tape new cover upcoming mixtape kingofthehill yeah im waiting hoe mayne
3,0,3,0,1,kingteej_ ol dirty foot ass bitches funny
3,0,3,0,1,king_shawn_ white_thunduh thats get yellow flags amazing hell yeah niggy
3,0,3,0,1,kissmysmilee dont got time bitches actin iffy
3,0,0,3,2,knightfanneal ucfpinkparty come stay alive knights nation still early bird special comeatmeut
3,0,2,1,1,kyranadiya_ hoes aint loyal aint smfh amp wonder nobody decent wants
3,0,3,0,1,lcistj bruh studs keep thinking im soft hell ask ya girl many times screamed bitch oh okay stfu bye hoe
3,0,3,0,1,lodycash dry pussy bitches always blame condom
3,0,3,0,1,lunaraps shut yo bitch ass
3,0,3,0,1,laflaregodjosh gucci mane jail dropping mixtapes every month hoes cant even text back
3,0,3,0,1,latrobemark love hoes money wats wrong niggas
6,0,6,0,1,lebronvuitton loyal bitch burbs without daddy issues like finding holographic mewtwo sounding like lol
3,0,3,0,1,lilfridayhoe easy cum easy hoe thats fact
3,0,3,0,1,lifeasbros charlie sheen real major fucking respect charlie sheen
3,0,3,0,1,lightskingawdd wish bae got hoes tho
3,0,3,0,1,lil_mike_ fuck twerking bitch cook
3,0,3,0,1,linniekravitz wesgodlaflare bitch wtf
3,1,2,0,1,lipe_the_great hrheyd lipe_the_great shut zoe fight pussy zoe im good man good maam move along
3,0,3,0,1,lolaaisdope lmao fucking snake bitches em
3,0,3,0,1,loveable_aizah big booty hoes everywhere sheesh damn
3,0,0,3,2,mlbnetwork stay tuned mlbnetwork update report yankees b teixeiramark weeks dliming bum
3,0,0,3,2,m_rad dezdlt play soccer cheat girls wear khaki coloured cargos haircut yes lmfaosoccerboy_
3,0,3,0,1,madflyentist oregon chokes every year get field trash ass program rft
3,0,3,0,1,mannydiesel def cowboy lol rt artoffloyd terrell owens best eagle amp cowboy ever dude cried like bitch tv romo
3,3,0,0,0,markroundtreejr lmfaoooo hate black people theres black people niggers
3,0,3,0,1,master_ tolife_ gabrielastarr could u bitch potent
3,0,1,2,2,maxmayo pissed lad past would lick dirty soles slept
3,0,1,2,2,maxmayo love frat boy w soft long soles
3,0,1,2,2,maxmayo sexy lad hot soles arches
3,0,3,0,1,megamindnick white_thunduh nah fam got ta cheat hoes depends female feel
3,0,0,3,2,mesha_nojas _vontethekidd got hicks lol
3,1,2,0,1,migsmichelen new twitter confusing shit go back south america bitch
3,0,3,0,1,miikito_x toto means ass vaginai think pussy cause toto santi like nasty pussy
3,0,3,0,1,mikelahenry actually choose ugly bitch ass must fat
3,0,3,0,1,mileycyrus bitch couldnt kill vibe ya tried dis love miley
3,0,3,0,1,montrell_ im tired bitches saying look mean nigga big af wear tight shirts grim everybody
6,0,0,6,2,motherjones birds grandkids may never see thanks climate change climate
3,0,3,0,1,mvckfadden stay beautiful bitch
3,0,3,0,1,nickiminaj wutkinda r purple ceeeleeeman gurl jus playin stupid hoe track still shitted sum gurls
3,0,3,0,1,nastycopper money getting taller bitches getting blurry
3,1,2,0,1,newsomejade aint never seen bitch obsessed nigga im obsessed mine
3,0,2,1,1,nicholas_ted kobe stay talking trash lets forget j_austin meant one smh
3,2,1,0,0,nochillpaz least im nigger lmfao
3,0,3,0,1,no_fakingg people always asking im mixed bad asian bitch lol
3,2,1,0,0,notoriousbm _whiteponyjr_ ariza snake coward least isnt cripple like hero roach lmaoo
3,0,1,2,2,osay_it_aint_so ignorealllaws fosters home imaginary trash whoa chill show everything tf
6,0,5,1,1,officialreplay lowkey tired tired quiet go sleep hoe
3,0,3,0,1,prayingforhead macklemroe stop bringing weird niggers mentions prayingforhead
3,0,3,0,1,prettyboss_brat dont love hoes
3,0,3,0,1,patrickquelo yo girl cant homeboys ol weak bitch ass nigga
3,0,3,0,1,patsfanjoe d_palomino think worst advice gave dont pussy speed lol
3,0,3,0,1,poemsporn quote tweet favorite animalpussy
3,0,3,0,1,poetic_success hate strippers tell theyre dancers hoe ballet dancers dont pop pussy beethoven stripper
3,0,3,0,1,poffalicious andrewbryant poff double vision beers poff double pussy smh
3,0,3,0,1,poobie_ bitches twerk computer ya ya damn
3,0,3,0,1,prodsjewel_ sreadthepeace yungmindless peacepunkprince prince art nobody takin bitch
3,0,1,2,2,quant welfaregovernment aid claimed white people yall black slander trash
3,0,3,0,1,quant bitches dont care play role
6,0,6,0,1,queen_kaaat took find hiding lime tree iemonaids dis bitch da wrong tree bro
6,3,2,1,0,rtnba drakes new shoes released nikejordan yes theres glitter shoes dudes fag
3,0,1,2,2,rachiesoul dizzleofficial inna di ghetto alone lmaoo
3,0,1,2,2,ramboutit master_ tolife_ ramboutit hoes austin teach us austini teach u get curved thats know
3,1,2,0,1,reachtheeclimax bitches cant cook know suck dick ones
3,0,3,0,1,renegademo fat hoes get chose lol
3,0,3,0,1,riahsm hoesaintloyal well theyre hoesno one expects loyal
3,0,3,0,1,rishaawilliams treshon_scrooge _nevertrustt ol bitch ass
3,1,2,0,1,rnadjorell bruh im tired niggas retweetin miley cyrus naked bitch aint types bad lmaooo
3,0,3,0,1,sactownprodigy tony romo mavs game dont mean still bitch lmao fuk cowgirls lol bitch fuck
3,0,3,0,1,samjlayman holy shit freddie highmore charlie chocolate factory rolls floor laughing
3,1,2,0,1,samirahusic_ dont want sex gf feel like im using anonymous whata faggot
3,0,3,0,1,sexualgxfs one followers somebody bitch dont
3,0,3,0,1,shaa_jenkins ya bitch always bitching clearly care annoying bitch
3,0,3,0,1,shantaughther catfish hoes thinkin slick niggas catching
3,0,3,0,1,shewenttojordan cant worry bitch aint worried bout real
3,0,3,0,1,showarrive side hoes insecure niggas cant handle real one
3,0,3,0,1,shun_stokes rt bluprint_ lmao bitch come scooting tent like fuck shit
3,0,3,0,1,shun_stokes cousin said share hoes brothers said sharing caring love brothers
3,0,3,0,1,slimgirl_probz im hungry ionn wan na spend money foodbroke hoe problems
6,0,6,0,1,smeegbaby dese hoes lyin us nigga
3,0,3,0,1,snakecharmsdump oh yeah fuck bitch
3,0,1,2,2,sportscenter eli manning threw nflleading th interception season lmao trash
3,0,1,2,2,sportscenter usc senior rb anthony brown calls head coach steve sarkisian racist quits team hes bitch
3,0,3,0,1,stellatex guess also zero time mansplaining adios stfu pussy
3,0,1,2,2,stephenwildboy chilling sexy scally lad
3,0,3,0,1,strap__ aint sharing bitch mines mines
3,0,3,0,1,sukmysweetness money impress simple broke bitches
3,0,2,1,1,sylvieamx pisces never anybodys bitch dont let people control change rigghhht
3,0,1,2,2,tee_jonez stanleys kingcuh tuku ho idk blah blah blah
3,0,1,2,2,tee_jonez kingcuh stanleys im mad cuh hahaha suure tuku ho ita
3,0,3,0,1,tayknosbest hoes crazy
3,0,3,0,1,taylorr_babee aint ever gon na slice bitch kevin hart
3,0,3,0,1,thatniggatroy oomf fuckin fine tho dam dont bitch
3,1,2,0,1,thegamerkingkev wonder girl gave head boys drink magaluf twitter probly sends nudes fags
3,0,3,0,1,thenewsat newsatquestions yeah bitch yeah bitch call _______ maybe b steveo c later jesse pinkman machinegunkelly
3,0,3,0,1,thenymphotweets hickies thighs right pussy gtgtgt right
3,0,3,0,1,theonemiss_luu would still love im longer young beautiful ugly monkey ass
3,1,2,0,1,therealrickyb jetsandaswisher gook____ yall come frontbitch aint coming
3,1,2,0,1,therealrickyb jetsandaswisher faggot bitch
3,0,3,0,1,the_realist_sam madrid_ yea im ipad dont work friday lets ball faggot tropicalblanketi work
3,0,1,2,2,theo scally lad would get
3,2,1,0,0,theomaxximus gerryshalloweenparty halloween yesterday stupid nigger
3,0,2,1,1,theomaxximus chrus still supahot tho walks teacher test drops test bitch fohead
3,0,3,0,1,thornton kantkeepahbytch love eating pussy lol never get full lol eat shit forever lol ever
3,0,3,0,1,tmacc_gfg voiceofdstreetz tmacc_gfg tizzimarie slushes hoes nasty anyway famthem hoes taste like meds
3,0,2,1,1,tmacc_gfg tizzimarie slushes hoes nasty anyway fam
3,1,2,0,1,tmacc_gfg bobby bitchby bobbyshmurdags getting live fuck hell yea play hoe workout
3,0,3,0,1,trelekidd yo bitch gucci mane rt jabarithegreat bitch stoner
3,0,3,0,1,tweetgamelazy ride bitch handle bars
3,0,3,0,1,tyjoncuffee aint hoe get traphoussseeeee
3,0,0,3,2,uberfacts sad tv character deaths still bitter stark man
3,0,3,0,1,unholy_jack harbor bitches party bus hoes lol
3,0,3,0,1,vbomb woodchuck pussy love
3,0,3,0,1,veronikahumbert ultraviolence video coming little bitch mtvhottest lana del rey bitchy promo
3,0,3,0,1,vineforthebyrd way fuck bitch lmfao kittycopter
3,0,0,3,2,wbur smuggler explains helped fighters along jihadi highway
3,0,3,0,1,wbeezy_ quathegreat aww avis look cute together got ta get ike avi bitch
3,0,3,0,1,wbeezy_ run_drc simple dont hoedont worry exposed fight mewhy
3,0,3,0,1,wannabekanye whys bitch boosting size isnt exactly healthy tho
3,0,3,0,1,withaprettyface _nonlykeisha bet bitches kim bye
3,0,3,0,1,x_xpdotjdot damn near got ta protect tweets stalkers annoying got dope dick drive bitches loco
3,0,3,0,1,xojennygirl im making marack girlfriend marackaf aye b pullin hoes like taught
3,1,2,0,1,xoxo__angiee bruno fag boy love
3,0,3,0,1,yehits_von run_drc must bitch sike naw always beefing
3,0,0,3,2,yankees yankees look rally bottom th rallycap
3,0,3,0,1,youngricooo wexicanafro dont take advantage nice person hoes everyjuan
3,1,2,0,1,youngricooo happy birthday bitch nigga wexicanafro thanks pal
3,0,3,0,1,youngricooo sad knowing hoes wont fuck bc aint got stacks wait till friday
3,0,3,0,1,yungmigo shane_a cinco shit harder fucc niggayee fucc wit rich homie cuz dats ya homeboy fucc nicca
3,0,3,0,1,zoebarton hrheyd ewww said last sundayas last sunday read nigs
4,1,3,0,1,_bada_bing punch real niggas face cause pussy nigga gon na punch right back strong mush shake
3,0,3,0,1,_beedontcare pussy still fresh lt something stank girls say
4,0,4,0,1,_geewillikers_ ass slapping one greatest things haha slapped girl ass got mad aint get pussy week
3,0,3,0,1,_tommycollins wearerichnow buffalobills yeah texans much better fucking retard see youre mad
3,1,2,0,1,__malibubarbie nd wtf dark bitches blonde please several seats hoe looking like blackampmilds
4,0,4,0,1,__sugga theres lane bitches need stay left n get right fuck outta face
3,0,3,0,1,__sneakyb hate boys deny bitches smh
3,1,2,0,1,__taradise__ ya nigs still saying yall dont eat butt straight face
3,0,3,0,1,__yourewelcome im boss ass bitch needs sit corner
3,0,3,0,1,_iwantfranny hes hoe cant
3,0,3,0,1,_prettyflvck paul thinkin bout gettin rentals da weekend oooh shit bitches betta stay da streets
6,0,6,0,1,_rapdreams bitches hold nigga get locked nigga go college military different story
3,1,2,0,1,_simplycaitlin friends hate ratchet hoe
3,1,2,0,1,adriwadrri love fuck niggas hoes
3,0,3,0,1,airmaxlad hot meat sexy fuck scally lad would love meet trainers
3,0,3,0,1,airmaxlad sniff perved scally lad fuck yeah
3,0,3,0,1,alejandra_p bitches love sosa
4,0,3,1,1,alexissixela__ white_thunduh legit watched seconds wtf prob cause retarded smh
3,0,3,0,1,allisonnamaya_ name cat ideas mr pussy
3,0,2,1,1,altosteel woof woof sexy thug boy scally
3,0,3,0,1,ambitiousbree _nonlykeisha u see damn phone ringing married bitches makes demands havent called
3,0,3,0,1,analicialouise tevin favorite sophomore think hes funny hes really lmaoo hes little hoe
3,0,3,0,1,angelenagoley sex positions u call fucking soul outta bitch
3,2,1,0,0,ashlingwilde itsnotadam bored supposed cute faggot sometimes
3,0,0,3,2,ayyee_ceee_ one mans trash another mans treasure
3,0,3,0,1,babineaux_ dont got type bad bitches thing like iongotnotype
3,2,1,0,0,bigbootybishopp white_thunduh lassen cc coach wants feel youll get nig doubt
3,0,3,0,1,bleedingtrap god teeth gold chain white bitches cocaine
3,1,2,0,1,cheetahbluntz_ hoe hoe shhhhh
3,0,3,0,1,chieflottahoes dc call rollers chiraq call thots across america known hoe
3,0,3,0,1,clayton_jenn im gon na miss bitch bus driverno wont dont lie
3,0,3,0,1,coltfortygone hate bitches try put friendzone bitch im tryin score put endzone soul
3,0,1,2,2,complex_uk ashley young tried deny bird landed mouth gt hahaha
3,0,3,0,1,datfullerkid trevaughnlg yall gimped aint tht bitch huh lol
3,0,1,2,2,deepthroatmike boys_south take ride woof woof
3,1,2,0,1,demi_eggleton oh god love victoria mitchell bitches love
3,0,3,0,1,djsliime long distance shit wack knew bitch cheating uh oh
3,0,3,0,1,fiirting hes right bitches smh
3,0,3,0,1,fatboyswagg ban dat pussy life amp got ta pay millon dollar fine
3,1,2,0,1,fuckcamoclark roses red violets blue niggers black know thats true dylan
3,0,0,3,2,grillaze sitting window sill window open bird tries fly smacked protecttheanimals peta
3,0,3,0,1,glowstruck nigga gon nigga nigga sound fuckin retarded
3,0,0,3,2,greggutfeld video entire media likely mock crybaby
3,0,3,0,1,gurl_im_angie itskiaraaaa westyourmajesty im even shy stfu kikis mom hi angelique angelique smiles dips cracker soup
3,0,3,0,1,haitian__gold tim tebow got cut every team nfl already got hoes starkville smh
3,0,3,0,1,hazelebaby karma bitch damn godprotectshisangels sips tea
3,0,3,0,1,hornyjhb fuckin hot gym pussy fuck yeah
3,0,0,3,2,hxhassan jihadi patron hajjaj alajmi arrested kuwait airport
3,0,2,1,1,iampickuplines call fireman cause turn hoes
3,0,3,0,1,icrawley could never bby lil dick thts got abortion last bitch oh god
3,0,3,0,1,idntwearcondoms watch women try argue like dick actually fucked pussy hate bitches
3,0,3,0,1,ilgdaily smoke weed public fuck cops man wan na dont run come retarded
3,0,0,3,2,itrapwatermelon tweety bird tho
3,0,3,0,1,irlfatty pussy sweet like watermelon thotermelon
3,0,1,2,2,itscoleharmon_ twitter rappers dm trash links
3,0,3,0,1,jsadass loud bitches annoy
4,0,4,0,1,jacaxeltlu eventually every bitch turns hoe truuu
3,0,3,0,1,jaimescudi_ tonybthrz_ jaimescudi_ swear oomf try talking tomorrow barackobama pussy
3,0,3,0,1,jama_jam bitches pretending tf crazy aint never lied
4,0,3,1,1,jasmyncyniquee white_thunduh k bye hoe um bye
3,2,1,0,0,jayswaggkillah jackies retard blondeproblems least make grilled cheese
3,1,2,0,1,jboii ima keep giving pussy ass niggas ah reason hate
3,0,0,3,2,jethromass photo sole heaven
3,2,1,0,0,jgabsss stacey dash baddest bitch evaaaa
3,0,3,0,1,juicyyyjayyyy side bitch sunday
3,0,3,0,1,k_eazy facts baldheaded bitch made shit lmao
3,0,3,0,1,kayreneeee_ fuck wit us tweakin hoe shmurda
3,0,0,3,2,kazooook actin like th day wesgodlaflare spook
3,0,3,0,1,kikistfu ill break lil bitch neck wont even feel sorry savage
3,0,3,0,1,leikant fucking hot scally sneakersex sockfetish sniff trainersex love kinky scallies
3,1,2,0,1,likemicah yall dumb ass niggas pressed hoes yall weak fuck fuck weed hoes oreos
3,0,3,0,1,lildurk_ turn yo bitch eaterrrrrrrrr
3,0,3,0,1,lildurk_ dont trust dese hoes nikki told st stay fans screen shot asap finna come chiraq shoot sumn
3,0,3,0,1,marackaf white_thunduh aye yall ima tryout bowling team frfr tryouts passed tho theres two retard
3,0,3,0,1,maybe u got u want bitch enjoy crazy party would love attend
3,0,0,3,2,metroadlib colored contacts eyes blinders mine cause cant see lmao
3,0,3,0,1,michelle_westt facts poonsoaker dudes hoes say dont got hoes j_austin
3,0,3,0,1,midywidey_ im rea start smacking bitches period bluffin best
3,0,3,0,1,molssyo lifes bitch die thats get high cause neva know youre gon na go sister perfect
3,0,3,0,1,molssyo one us drugs youre still wrong currieburry hahahahahahah im bitch sometimes
3,1,2,0,1,morgandaylee im feeling pretty fuckin ghetto smh
3,0,0,3,2,nohands_ tolife_ nohands_ dejaaleeann_ b_coleman swears im man easily easily behind austin nip
3,0,3,0,1,obey_jrock__ true ride die bitch fuck hahahahah
4,0,0,4,2,oldpicsarchive hgwells charlie chaplin history photography
3,0,3,0,1,ortiz_jaylene see brunos bitch ass twitter wtf brunos sees drake voice
3,0,3,0,1,ozzie_garza white_thunduh im cool faggot chill tf cool nigga
3,0,3,0,1,ozzie_garza white_thunduh im sure bitch frfr tf
3,0,3,0,1,poppunksucks twitter source news broadcast fucking retards nbc abc cnn fox etc keeping quiet
3,0,3,0,1,queendulaaa got couple bitches saying know ima let money talk im like wwyd
3,0,3,0,1,realfortes grudges weirdosand bitches
3,1,0,2,2,rhythmixx_ told mariam cigarettes birthday also called trash rn
3,0,0,3,2,riananewman edham brownies tonight kind
3,0,3,0,1,rollyup text back dont give fuck ill text another bitch damn someone hurt lol
6,1,5,0,1,ronald_iongi ummmmmm okay got hoes left right yah thang
3,0,3,0,1,royalswagg_ using ymxb find slope ass
3,0,0,3,2,rugbysocklad fit lads nice gear scally lads n trainers would get
3,0,3,0,1,rugbysocklad hell yeah bro fuck yeah sexy scally lad hot gear
3,0,3,0,1,rugbysocklad helping mate love scally play fuck yeah
